measure,dateTime,date,value,completeness,quality,qcode,,,
http://environment.data.gov.uk/hydrology/id/measures/c0d52925-b2bd-4ccd-9538-411b7871e984-rainfall-t-86400-mm-qualified,2000-02-18T09:00:00,18/02/2000,7.013151,Incomplete,Good,,,,
http://environment.data.gov.uk/hydrology/id/measures/c0d52925-b2bd-4ccd-9538-411b7871e984-rainfall-t-86400-mm-qualified,2000-02-19T09:00:00,19/02/2000,7.013151,Incomplete,Good,,,,
http://environment.data.gov.uk/hydrology/id/measures/c0d52925-b2bd-4ccd-9538-411b7871e984-rainfall-t-86400-mm-qualified,2000-02-20T09:00:00,20/02/2000,7.013151,Incomplete,Good,,,,
http://environment.data.gov.uk/hydrology/id/measures/c0d52925-b2bd-4ccd-9538-411b7871e984-rainfall-t-86400-mm-qualified,2000-02-21T09:00:00,21/02/2000,7.013151,Incomplete,Good,,,,
http://environment.data.gov.uk/hydrology/id/measures/c0d52925-b2bd-4ccd-9538-411b7871e984-rainfall-t-86400-mm-qualified,2000-02-22T09:00:00,22/02/2000,7.013151,Incomplete,Good,,,,
http://environment.data.gov.uk/hydrology/id/measures/c0d52925-b2bd-4ccd-9538-411b7871e984-rainfall-t-86400-mm-qualified,2000-02-23T09:00:00,23/02/2000,7.013151,Incomplete,Good,,,,
http://environment.data.gov.uk/hydrology/id/measures/c0d52925-b2bd-4ccd-9538-411b7871e984-rainfall-t-86400-mm-qualified,2000-02-24T09:00:00,24/02/2000,7.013151,Incomplete,Good,,,,
http://environment.data.gov.uk/hydrology/id/measures/c0d52925-b2bd-4ccd-9538-411b7871e984-rainfall-t-86400-mm-qualified,2000-02-25T09:00:00,25/02/2000,7.013151,Incomplete,Good,,,,
http://environment.data.gov.uk/hydrology/id/measures/c0d52925-b2bd-4ccd-9538-411b7871e984-rainfall-t-86400-mm-qualified,2000-02-26T09:00:00,26/02/2000,7.013151,Incomplete,Good,,,,
http://environment.data.gov.uk/hydrology/id/measures/c0d52925-b2bd-4ccd-9538-411b7871e984-rainfall-t-86400-mm-qualified,2000-02-27T09:00:00,27/02/2000,7.013151,Incomplete,Good,,,,
http://environment.data.gov.uk/hydrology/id/measures/c0d52925-b2bd-4ccd-9538-411b7871e984-rainfall-t-86400-mm-qualified,2000-02-28T09:00:00,28/02/2000,7.013151,Incomplete,Good,,,,
http://environment.data.gov.uk/hydrology/id/measures/c0d52925-b2bd-4ccd-9538-411b7871e984-rainfall-t-86400-mm-qualified,2000-02-29T09:00:00,29/02/2000,7.013151,Incomplete,Good,,,,
http://environment.data.gov.uk/hydrology/id/measures/c0d52925-b2bd-4ccd-9538-411b7871e984-rainfall-t-86400-mm-qualified,2000-03-01T09:00:00,01/03/2000,7.013151,Incomplete,Good,,,,
http://environment.data.gov.uk/hydrology/id/measures/c0d52925-b2bd-4ccd-9538-411b7871e984-rainfall-t-86400-mm-qualified,2000-03-02T09:00:00,02/03/2000,7.013151,Incomplete,Good,,,,
http://environment.data.gov.uk/hydrology/id/measures/c0d52925-b2bd-4ccd-9538-411b7871e984-rainfall-t-86400-mm-qualified,2000-03-03T09:00:00,03/03/2000,7.013151,Incomplete,Good,,,,
http://environment.data.gov.uk/hydrology/id/measures/c0d52925-b2bd-4ccd-9538-411b7871e984-rainfall-t-86400-mm-qualified,2000-03-04T09:00:00,04/03/2000,7.013151,Incomplete,Good,,,,
http://environment.data.gov.uk/hydrology/id/measures/c0d52925-b2bd-4ccd-9538-411b7871e984-rainfall-t-86400-mm-qualified,2000-03-05T09:00:00,05/03/2000,7.013151,Incomplete,Good,,,,
http://environment.data.gov.uk/hydrology/id/measures/c0d52925-b2bd-4ccd-9538-411b7871e984-rainfall-t-86400-mm-qualified,2000-03-06T09:00:00,06/03/2000,7.013151,Incomplete,Good,,,,
