Easting,Northing,Site_ID,Stdy_Start,Stdy_Fin,Site_selection,Stdy_Method,Erosion_Rate,Pathway,Reference,Link
365500,768500,57,1985,1986,1,Volumetric survey,23.739,Water,"Watson, A. and R. Evans (1991). ""A comparison of estimates of soil erosion made in the field and from photographs."" Soil and Tillage Research 19(1): 17-27.",http://www.sciencedirect.com/science/article/pii/0167198791901068
499500,235500,58,1989,1989,2,Runoff and sediment collection,2.138,Water,"Quinton (2014) pers. comm. & Quinton and Catt (2004). The effects of minimal tillage and contour cultivation on surface runoff, soil loss and crop yield in the long-term Woburn Erosion Reference Experiment on sandy soil at Woburn, England. Soil Use and Mgmt 20(3): 343–349.",http://dx.doi.org/10.1111/j.1475-2743.2004.tb00379.x
499500,235500,59,1990,1990,2,Runoff and sediment collection,5.6753,Water,"Quinton (2014) pers. comm. & Quinton and Catt (2004). The effects of minimal tillage and contour cultivation on surface runoff, soil loss and crop yield in the long-term Woburn Erosion Reference Experiment on sandy soil at Woburn, England. Soil Use and Mgmt 20(3): 343–349.",http://dx.doi.org/10.1111/j.1475-2743.2004.tb00379.x
499500,235500,60,1991,1991,2,Runoff and sediment collection,0.0398,Water,"Quinton (2014) pers. comm. & Quinton and Catt (2004). The effects of minimal tillage and contour cultivation on surface runoff, soil loss and crop yield in the long-term Woburn Erosion Reference Experiment on sandy soil at Woburn, England. Soil Use and Mgmt 20(3): 343–349.",http://dx.doi.org/10.1111/j.1475-2743.2004.tb00379.x
499500,235500,61,1992,1992,2,Runoff and sediment collection,0.7058,Water,"Quinton (2014) pers. comm. & Quinton and Catt (2004). The effects of minimal tillage and contour cultivation on surface runoff, soil loss and crop yield in the long-term Woburn Erosion Reference Experiment on sandy soil at Woburn, England. Soil Use and Mgmt 20(3): 343–349.",http://dx.doi.org/10.1111/j.1475-2743.2004.tb00379.x
499500,235500,62,1993,1993,2,Runoff and sediment collection,0.2464,Water,"Quinton (2014) pers. comm. & Quinton and Catt (2004). The effects of minimal tillage and contour cultivation on surface runoff, soil loss and crop yield in the long-term Woburn Erosion Reference Experiment on sandy soil at Woburn, England. Soil Use and Mgmt 20(3): 343–349.",http://dx.doi.org/10.1111/j.1475-2743.2004.tb00379.x
499500,235500,63,1994,1994,2,Runoff and sediment collection,0.4406,Water,"Quinton (2014) pers. comm. & Quinton and Catt (2004). The effects of minimal tillage and contour cultivation on surface runoff, soil loss and crop yield in the long-term Woburn Erosion Reference Experiment on sandy soil at Woburn, England. Soil Use and Mgmt 20(3): 343–349.",http://dx.doi.org/10.1111/j.1475-2743.2004.tb00379.x
499500,235500,64,1995,1995,2,Runoff and sediment collection,0.5122,Water,"Quinton (2014) pers. comm. & Quinton and Catt (2004). The effects of minimal tillage and contour cultivation on surface runoff, soil loss and crop yield in the long-term Woburn Erosion Reference Experiment on sandy soil at Woburn, England. Soil Use and Mgmt 20(3): 343–349.",http://dx.doi.org/10.1111/j.1475-2743.2004.tb00379.x
499500,235500,65,1996,1996,2,Runoff and sediment collection,0.073,Water,"Quinton (2014) pers. comm. & Quinton and Catt (2004). The effects of minimal tillage and contour cultivation on surface runoff, soil loss and crop yield in the long-term Woburn Erosion Reference Experiment on sandy soil at Woburn, England. Soil Use and Mgmt 20(3): 343–349.",http://dx.doi.org/10.1111/j.1475-2743.2004.tb00379.x
499500,235500,66,1997,1997,2,Runoff and sediment collection,0.4474,Water,"Quinton (2014) pers. comm. & Quinton and Catt (2004). The effects of minimal tillage and contour cultivation on surface runoff, soil loss and crop yield in the long-term Woburn Erosion Reference Experiment on sandy soil at Woburn, England. Soil Use and Mgmt 20(3): 343–349.",http://dx.doi.org/10.1111/j.1475-2743.2004.tb00379.x
